Section Title,Question Text,Answer Type,Options,Is Scored,Weight,Prefill Source,Help Text,Conditional Parent,Conditional Value
Advocacy & Social Mobilization (Part I - Facility),[40] Please provide names of the health related committees in your community  *,text,,false,1.0,,Ask only if: “Are there active community health-related committees?” includes “Yes”,Are there active community health-related committees?,Yes
Advocacy & Social Mobilization (Part I - Facility),[41] How many meetings have been held in the past 3 months out of the total planned?  *,number,,false,1.0,,Ask only if: “Are there active community health-related committees?” includes “Yes” Guidance: Allowed range: 0-3.,Are there active community health-related committees?,Yes
Advocacy & Social Mobilization (Part I - Facility),[42] Are there active community mobilizers?  *,yes_no,Yes | No,true,1.0,,,,
Advocacy & Social Mobilization (Part I - Facility),[43] Does the Health Facility have IEC materials for routine immunization (observation)  *,single_select,Poster | Leaflet | Banner | Flipchart | Booklet | None,false,1.0,,,,
Advocacy & Social Mobilization (Part I - Facility),"[44] If yes, select what material is available (poster, leaflet, banner,)  *",single_select,Poster | Leaflet | Banner | Flipchart | Booklet | None,false,1.0,,Ask only if: “Does the Health Facility have IEC materials for routine immunization (observation)” is “Yes”,Does the Health Facility have IEC materials for routine immunization (observation),Yes
Advocacy & Social Mobilization (Part I - Facility),[45] Is the HF using IEC material?  *,single_select,Poster | Leaflet | Banner | Flipchart | Booklet | None,false,1.0,,Ask only if: “Does the Health Facility have IEC materials for routine immunization (observation)” is “Yes”,Does the Health Facility have IEC materials for routine immunization (observation),Yes
Advocacy & Social Mobilization (Part I - Facility),"[46] If yes, please select how the material are being used.  *",single_select,Option 1 | Option 2 | Option 3,false,1.0,,Ask only if: “Is the HF using IEC material?” is “Yes”,Is the HF using IEC material?,Yes
Advocacy & Social Mobilization (Part I - Facility),[47] Are you aware of the four tips/key messages for RI?  *,yes_no,Yes | No,true,1.0,,,,
Advocacy & Social Mobilization (Part I - Facility),"[48] If yes, please describe them.  *",single_select,Option 1 | Option 2 | Option 3,false,1.0,,Ask only if: “Are you aware of the four tips/key messages for RI?” is “Yes”,Are you aware of the four tips/key messages for RI?,Yes
Advocacy & Social Mobilization (Part I - Facility),[49] Did you use any of the four tips/key messages for RI with the last caregiver while providing immunization service?  *,yes_no,Yes | No,true,1.0,,,,
Advocacy & Social Mobilization (Part I - Facility),"[50] If yes, which messages did you use.  *",single_select,Option 1 | Option 2 | Option 3,false,1.0,,Ask only if: “Did you use any of the four tips/key messages for RI with the last caregiver while providing immunization service?” is “Yes”,Did you use any of the four tips/key messages for RI with the last caregiver while providing immunization service?,Yes
Advocacy & Social Mobilization (Part I - Facility),[51] Does the health facility have Child Health Record Book in stock?  *,yes_no,Yes | No,true,1.0,,,,
Advocacy & Social Mobilization (Part I - Facility),"[52] If yes, which version is available?  *",single_select,2022 Edition | 2023 Edition | 2024 Revised Edition | Old Manual,false,1.0,,Ask only if: “Does the health facility have Child Health Record Book in stock?” is “Yes”,Does the health facility have Child Health Record Book in stock?,Yes
Advocacy & Social Mobilization (Part I - Facility),[53] Does Health Facility conduct community engagement activities?  *,yes_no,Yes | No,true,1.0,,,,
Advocacy & Social Mobilization (Part I - Facility),"[54] If yes, how often do you conduct such community engagement activities  *",yes_no,Yes | No,true,1.0,,Ask only if: “Does Health Facility conduct community engagement activities?” is “Yes”,Does Health Facility conduct community engagement activities?,Yes
Advocacy & Social Mobilization (Part I - Facility),[55] If Others (describe)  *,text,,false,1.0,,"Ask only if: “If yes, how often do you conduct such community engagement activities” is “e) Others (describe)”","If yes, how often do you conduct such community engagement activities",e) Others (describe)
Community & Caregiver Survey (General),[56] Interviewee  *,yes_no,Yes | No,true,1.0,,,,
Caregiver Survey: Mother / Female Caregiver,[57] Have your child/children been fully vaccinated or completed appropriate vaccination according to the age and schedule?  *,yes_no,Yes | No,true,1.0,,,,
Caregiver Survey: Mother / Female Caregiver,[58] Please provide the reasons for the delay or no vaccinations.  *,single_select,Distance to facility | Service cost / fees | Fear of side effects | Vaccine stockout | Caregiver busy | Religion / Cultural beliefs,false,1.0,,Ask only if: “Have your child/children been fully vaccinated OR completed appropriate vaccination according to the age AND schedule?” is “c) Delay vaccination (missed doses)” OR “Have your child/children been fully vaccinated OR completed appropriate vaccination according to the age AND schedule?” is “d) No vaccination at all”,Have your child/children been fully vaccinated OR completed appropriate vaccination according to the age AND schedule?,c) Delay vaccination (missed doses)
Caregiver Survey: Mother / Female Caregiver,"[59] If Others, specify  *",text,,false,1.0,,Ask only if: “Please provide the reasons for the delay OR no vaccinations.” is “i) Other (specify)”,Please provide the reasons for the delay OR no vaccinations.,i) Other (specify)
Caregiver Survey: Mother / Female Caregiver,[60] Did you/caregiver have the Child Health Record Books (CHRB) to immunization (at home or clinic/vaccination sites)?  *,yes_no,Yes | No,true,1.0,,,,
Caregiver Survey: Mother / Female Caregiver,"[61] If yes, what edition?  *",single_select,2022 Edition | 2023 Edition | 2024 Revised Edition | Old Manual,false,1.0,,Ask only if: “Did you/caregiver have the Child Health Record Books (CHRB) to immunization (at home OR clinic/vaccination sites)?” is “Yes”,Did you/caregiver have the Child Health Record Books (CHRB) to immunization (at home OR clinic/vaccination sites)?,Yes
Caregiver Survey: Mother / Female Caregiver,"[62] If not, why didn’t you have the Child Health Record Books (CHRB)?  *",yes_no,Yes | No,true,1.0,,Ask only if: “Did you/caregiver have the Child Health Record Books (CHRB) to immunization (at home OR clinic/vaccination sites)?” is “No”,Did you/caregiver have the Child Health Record Books (CHRB) to immunization (at home OR clinic/vaccination sites)?,No
Caregiver Survey: Mother / Female Caregiver,"[63] If Others, specify  *",text,,false,1.0,,"Ask only if: “If not, why didn’t you have the Child Health Record Books (CHRB)?” is “d) Other (specify)”","If not, why didn’t you have the Child Health Record Books (CHRB)?",d) Other (specify)
Caregiver Survey: Mother / Female Caregiver,[64] Where did you hear/learn about the benefits of immunization?  *,single_select,Health worker | Radio / TV | Community mobilizer | Religious leader | School | Friend / Neighbor | Social media,false,1.0,,,,
Caregiver Survey: Mother / Female Caregiver,"[65] If Others, specify  *",text,,false,1.0,,Ask only if: “Where did you hear/learn about the benefits of immunization?” is “i) Other (specify)”,Where did you hear/learn about the benefits of immunization?,i) Other (specify)
Caregiver Survey: Mother / Female Caregiver,[66] Do you own a smart phone and internet access?  *,yes_no,Yes | No,true,1.0,,,,
Caregiver Survey: Mother / Female Caregiver,[67] Do you use a social media to access health information?  *,single_select,Facebook | WhatsApp | Telegram | TikTok | X (Twitter) | YouTube,false,1.0,,Ask only if: “Do you own a smart phone AND internet access?” is “Yes”,Do you own a smart phone AND internet access?,Yes
Caregiver Survey: Mother / Female Caregiver,[68] Do you remember seeing a post about routine immunization information online or on a mobile device over the past one week?  *,yes_no,Yes | No,true,1.0,,,,
Caregiver Survey: Mother / Female Caregiver,[69] Which social media do you usually use?  *,single_select,Facebook | WhatsApp | Telegram | TikTok | X (Twitter) | YouTube,false,1.0,,Ask only if: “Do you own a smart phone AND internet access?” is “Yes”,Do you own a smart phone AND internet access?,Yes
Caregiver Survey: Mother / Female Caregiver,"[70] If Others, specify  *",text,,false,1.0,,Ask only if: “Which social media do you usually use?” is “e) Other (specify)”,Which social media do you usually use?,e) Other (specify)
Caregiver Survey: Father / Male Caregiver,[71] Have your child/children been fully vaccinated or completed appropriate vaccination according to the age and schedule?  *,yes_no,Yes | No,true,1.0,,,,
Caregiver Survey: Father / Male Caregiver,[72] Please provide the reasons for the delay or no vaccinations.  *,single_select,Distance to facility | Service cost / fees | Fear of side effects | Vaccine stockout | Caregiver busy | Religion / Cultural beliefs,false,1.0,,Ask only if: “Have your child/children been fully vaccinated OR completed appropriate vaccination according to the age AND schedule?” is “c) Delay vaccination (missed doses)” OR “Have your child/children been fully vaccinated OR completed appropriate vaccination according to the age AND schedule?” is “d) No vaccination at all”,Have your child/children been fully vaccinated OR completed appropriate vaccination according to the age AND schedule?,c) Delay vaccination (missed doses)
Caregiver Survey: Father / Male Caregiver,"[73] If Others, specify  *",text,,false,1.0,,Ask only if: “Please provide the reasons for the delay OR no vaccinations.” is “i) Other (specify)”,Please provide the reasons for the delay OR no vaccinations.,i) Other (specify)
Caregiver Survey: Father / Male Caregiver,[74] Did you/caregiver have the Child Health Record Books (CHRB) to immunization (at home or clinic/vaccination sites)?  *,yes_no,Yes | No,true,1.0,,,,
Caregiver Survey: Father / Male Caregiver,"[75] If yes, what edition?  *",single_select,2022 Edition | 2023 Edition | 2024 Revised Edition | Old Manual,false,1.0,,Ask only if: “Did you/caregiver have the Child Health Record Books (CHRB) to immunization (at home OR clinic/vaccination sites)?” is “Yes”,Did you/caregiver have the Child Health Record Books (CHRB) to immunization (at home OR clinic/vaccination sites)?,Yes
Caregiver Survey: Father / Male Caregiver,"[76] If not, why didn’t you have the Child Health Record Books (CHRB)?  *",yes_no,Yes | No,true,1.0,,Ask only if: “Did you/caregiver have the Child Health Record Books (CHRB) to immunization (at home OR clinic/vaccination sites)?” is “No”,Did you/caregiver have the Child Health Record Books (CHRB) to immunization (at home OR clinic/vaccination sites)?,No
Caregiver Survey: Father / Male Caregiver,"[77] If Others, specify  *",text,,false,1.0,,"Ask only if: “If not, why didn’t you have the Child Health Record Books (CHRB)?” is “d) Other (specify)”","If not, why didn’t you have the Child Health Record Books (CHRB)?",d) Other (specify)
Caregiver Survey: Father / Male Caregiver,[78] Where did you hear/learn about the benefits of immunization?  *,single_select,Health worker | Radio / TV | Community mobilizer | Religious leader | School | Friend / Neighbor | Social media,false,1.0,,,,
Caregiver Survey: Father / Male Caregiver,"[79] If Others, specify  *",text,,false,1.0,,Ask only if: “Where did you hear/learn about the benefits of immunization?” is “i) Other (specify)”,Where did you hear/learn about the benefits of immunization?,i) Other (specify)
Caregiver Survey: Father / Male Caregiver,[80] Do you own a smart phone and internet access?  *,yes_no,Yes | No,true,1.0,,,,
Caregiver Survey: Father / Male Caregiver,[81] Do you use a social media to access health information?  *,single_select,Facebook | WhatsApp | Telegram | TikTok | X (Twitter) | YouTube,false,1.0,,Ask only if: “Do you own a smart phone AND internet access?” is “Yes”,Do you own a smart phone AND internet access?,Yes
Caregiver Survey: Father / Male Caregiver,[82] Do you remember seeing a post about routine immunization information online or on a mobile device over the past one week?  *,yes_no,Yes | No,true,1.0,,,,
Caregiver Survey: Father / Male Caregiver,[83] Which social media do you usually use?  *,single_select,Facebook | WhatsApp | Telegram | TikTok | X (Twitter) | YouTube,false,1.0,,Ask only if: “Do you own a smart phone AND internet access?” is “Yes”,Do you own a smart phone AND internet access?,Yes
Caregiver Survey: Father / Male Caregiver,"[84] If Others, specify  *",text,,false,1.0,,Ask only if: “Which social media do you usually use?” is “e) Other (specify)”,Which social media do you usually use?,e) Other (specify)
Caregiver Survey: Father / Male Caregiver,[85] Does your male partner help you and take your baby for routine immunization to the health facility/vaccination site?  *,yes_no,Yes | No,true,1.0,,,,
Community Engagement: Community / Religious Leader,[86] Have your child/children been fully vaccinated or completed appropriate vaccination according to the age and schedule?  *,yes_no,Yes | No,true,1.0,,,,
Community Engagement: Community / Religious Leader,[87] Please provide the reasons for the delay or no vaccinations.  *,single_select,Distance to facility | Service cost / fees | Fear of side effects | Vaccine stockout | Caregiver busy | Religion / Cultural beliefs,false,1.0,,Ask only if: “Have your child/children been fully vaccinated OR completed appropriate vaccination according to the age AND schedule?” is “c) Delay vaccination (missed doses)” OR “Have your child/children been fully vaccinated OR completed appropriate vaccination according to the age AND schedule?” is “d) No vaccination at all”,Have your child/children been fully vaccinated OR completed appropriate vaccination according to the age AND schedule?,c) Delay vaccination (missed doses)
Community Engagement: Community / Religious Leader,"[88] If Others, specify  *",text,,false,1.0,,Ask only if: “Please provide the reasons for the delay OR no vaccinations.” is “i) Other (specify)”,Please provide the reasons for the delay OR no vaccinations.,i) Other (specify)
Community Engagement: Community / Religious Leader,[89] Where did you hear/learn about the benefits of immunization?  *,single_select,Health worker | Radio / TV | Community mobilizer | Religious leader | School | Friend / Neighbor | Social media,false,1.0,,,,
Community Engagement: Community / Religious Leader,"[90] If Others, specify  *",text,,false,1.0,,Ask only if: “Where did you hear/learn about the benefits of immunization?” is “i) Other (specify)”,Where did you hear/learn about the benefits of immunization?,i) Other (specify)
Community Engagement: Community / Religious Leader,[91] Do you own a smart phone and internet access?  *,yes_no,Yes | No,true,1.0,,,,
Community Engagement: Community / Religious Leader,[92] Do you use a social media to access health information?  *,single_select,Facebook | WhatsApp | Telegram | TikTok | X (Twitter) | YouTube,false,1.0,,Ask only if: “Do you own a smart phone AND internet access?” is “Yes”,Do you own a smart phone AND internet access?,Yes
Community Engagement: Community / Religious Leader,[93] Do you remember seeing a post about routine immunization information online or on a mobile device over the past one week?  *,yes_no,Yes | No,true,1.0,,,,
Community Engagement: Community / Religious Leader,[94] Which social media do you usually use?  *,single_select,Facebook | WhatsApp | Telegram | TikTok | X (Twitter) | YouTube,false,1.0,,Ask only if: “Do you own a smart phone AND internet access?” is “Yes”,Do you own a smart phone AND internet access?,Yes
Community Engagement: Community / Religious Leader,"[95] If Others, specify  *",text,,false,1.0,,Ask only if: “Which social media do you usually use?” is “e) Other (specify)”,Which social media do you usually use?,e) Other (specify)
Community Engagement: Community / Religious Leader,[96] Does your male partner help you and take your baby for routine immunization to the health facility/vaccination site?  *,yes_no,Yes | No,true,1.0,,,,
Community Engagement: Community / Religious Leader,[97] Do you help health workers to mobilize your community for health/routine immunization?  *,yes_no,Yes | No,true,1.0,,,,
Community Engagement: Community / Religious Leader,"[98] If yes, how often do you make community mobilization for health/routine immunization?  *",yes_no,Yes | No,true,1.0,,Ask only if: “Do you help health workers to mobilize your community for health/routine immunization?” is “Yes”,Do you help health workers to mobilize your community for health/routine immunization?,Yes
Community Engagement: Community / Religious Leader,[99] How do you hold community meetings /mobilization?  *,yes_no,Yes | No,true,1.0,,,,
Community Engagement: Community / Religious Leader,"[100] If Others, specify  *",text,,false,1.0,,Ask only if: “How do you hold community meetings /mobilization?” is “Other (specify)”,How do you hold community meetings /mobilization?,Other (specify)
AEFI Management & Surveillance,[101] Does the health facility have staff trained in AEFI?  *,yes_no,Yes | No,true,1.0,,,,
AEFI Management & Surveillance,[102] How many staff are trained in AEFI?  *,number,,false,1.0,,Ask only if: “Does the health facility have staff trained in AEFI?” includes “Yes”,Does the health facility have staff trained in AEFI?,Yes
AEFI Management & Surveillance,[103] Did the health facility record any AEFI?  *,yes_no,Yes | No,true,1.0,,,,
AEFI Management & Surveillance,[104] How many total number of MAJOR events were reported in the last 3 months  *,number,,false,1.0,,Ask only if: “Did the health facility record any AEFI?” includes “Yes”,Did the health facility record any AEFI?,Yes
AEFI Management & Surveillance,[105] How many total number of MINOR events were reported in the last 3 months  *,number,,false,1.0,,Ask only if: “Did the health facility record any AEFI?” includes “Yes”,Did the health facility record any AEFI?,Yes
AEFI Management & Surveillance,[106] Were the AEFI events reported?  *,yes_no,Yes | No,true,1.0,,Ask only if: “Did the health facility record any AEFI?” includes “Yes”,Did the health facility record any AEFI?,Yes
AEFI Management & Surveillance,[107] Is there a AEFI kit available with all supplies?  *,yes_no,Yes | No,true,1.0,,,,
AEFI Management & Surveillance,"[108] If no, please indicate what is missing  *",yes_no,Yes | No,true,1.0,,Ask only if: “Is there a AEFI kit available with all supplies?” includes “No”,Is there a AEFI kit available with all supplies?,No
AEFI Management & Surveillance,[109] Is there an EPI register on site?  *,yes_no,Yes | No,true,1.0,,,,
AEFI Management & Surveillance,[110] Please take a photo of the register,image,,false,1.0,,Ask only if: “Is there an EPI register on site?” includes “Yes”,Is there an EPI register on site?,Yes
AEFI Management & Surveillance,"[111] If yes, are all columns and rows properly filled?  *",yes_no,Yes | No,true,1.0,,,,
AEFI Management & Surveillance,[112] Are tally sheet & summary sheet available?  *,yes_no,Yes | No,true,1.0,,,,
AEFI Management & Surveillance,[113] Please select which data collection/reporting tools are missing in the health facility,yes_no,Yes | No,true,1.0,,,,
AEFI Management & Surveillance,[114] Stock register available?  *,yes_no,Yes | No,true,1.0,,,,
AEFI Management & Surveillance,[115] Is the HF sending monthly report to the district/province?  *,yes_no,Yes | No,true,1.0,,,,
AEFI Management & Surveillance,[116] Number of reports submitted in the past 3 months  *,number,,false,1.0,,Ask only if: “Is the HF sending monthly report to the district/province?” includes “Yes” Guidance: Allowed range: 0-3.,Is the HF sending monthly report to the district/province?,Yes
AEFI Management & Surveillance,[117] Is there an immunization monitoring chart available?  *,yes_no,Yes | No,true,1.0,,,,
AEFI Management & Surveillance,[118] Does the health facility use monitoring chart for RI performance?  *,yes_no,Yes | No,true,1.0,,Ask only if: “Is there an immunization monitoring chart available?” includes “Yes”,Is there an immunization monitoring chart available?,Yes
AEFI Management & Surveillance,[119] Please take a photo of the register,image,,false,1.0,,Ask only if: “Is there an immunization monitoring chart available?” includes “Yes”,Is there an immunization monitoring chart available?,Yes
AEFI Management & Surveillance,[120] Is there defaulter tracing mechanism?  *,yes_no,Yes | No,true,1.0,,,,
Cold Chain & Equipment,[121] Is there a functioning coldchain equipment on site?  *,yes_no,Yes | No,true,1.0,,,,
Cold Chain & Equipment,"[122] If yes,what is the type of equipment is available on site?  *",yes_no,Yes | No,true,1.0,,Ask only if: “Is there a functioning coldchain equipment on site?” includes “Yes”,Is there a functioning coldchain equipment on site?,Yes
Cold Chain & Equipment,[123] The equipment is powered by?  *,yes_no,Yes | No,true,1.0,,Ask only if: “Is there a functioning coldchain equipment on site?” includes “Yes”,Is there a functioning coldchain equipment on site?,Yes
Cold Chain & Equipment,[124] Freezing storage capacity sufficient?  *,yes_no,Yes | No,true,1.0,,,,
Cold Chain & Equipment,"[125] Is the cold chain equipment placed in the best location with easy acces to the vaccines (not in direct sun,well ventilated) ?  *",yes_no,Yes | No,true,1.0,,,,
Cold Chain & Equipment,[126] Does health facility have SOPs to guide when the coldchain equipment is malfunctional?  *,yes_no,Yes | No,true,1.0,,,,
Cold Chain & Equipment,[127] Is there a Fridge Tag present?  *,yes_no,Yes | No,true,1.0,,,,
Cold Chain & Equipment,[128] Please take a photo of the fridge tag  *,image,,false,1.0,,Ask only if: “Is there a Fridge Tag present?” includes “Yes”,Is there a Fridge Tag present?,Yes
Cold Chain & Equipment,[129] Is the fridge Tag being used?  *,yes_no,Yes | No,true,1.0,,Ask only if: “Is there a Fridge Tag present?” includes “Yes”,Is there a Fridge Tag present?,Yes
Cold Chain & Equipment,[130] Is the temperature chart recorded & displayed?  *,yes_no,Yes | No,true,1.0,,Ask only if: “Is the fridge Tag being used?” includes “Yes”,Is the fridge Tag being used?,Yes
Cold Chain & Equipment,[131] Please take a photo of the chart,image,,false,1.0,,Ask only if: “Is the temperature chart recorded & displayed?” includes “Yes”,Is the temperature chart recorded & displayed?,Yes
Immunization Waste Management,[132] What method is used for immunization medical waste disposal?  *,single_select,Incinerator | Open Burning | Safety Box Burial | Offsite Facility Disposal,false,1.0,,,,
Immunization Waste Management,"[133] If other method is used for immunization medical waste disposal, please specify.  *",single_select,Incinerator | Open Burning | Safety Box Burial | Offsite Facility Disposal,false,1.0,,Ask only if: “What method is used for immunization medical waste disposal?” includes “Other”,What method is used for immunization medical waste disposal?,Other
Immunization Waste Management,[134] Are safety boxes used for sharp disposal?  *,yes_no,Yes | No,true,1.0,,,,
Immunization Waste Management,[135] Please take a photo of the waste disposal site/facility  *,single_select,Incinerator | Open Burning | Safety Box Burial | Offsite Facility Disposal,false,1.0,,,,
Vaccine & Supply Logistics,[136] Does HF use vaccine and supply stock ledger book or mSupply?  *,yes_no,Yes | No,true,1.0,,,,
Vaccine & Supply Logistics,"[137] Does Health Facility conduct vaccine forecasting, minimum & maximum & critical stocks?  *",yes_no,Yes | No,true,1.0,,,,
Vaccine & Supply Logistics,[138] Is there adequate amount of vaccine and supplies for one month?  *,yes_no,Yes | No,true,1.0,,,,
Vaccine & Supply Logistics,[139] Was there any stock out of vaccines and supplies during the last month?  *,single_select,BCG | bOPV | IPV | Penta (DTP-HepB-Hib) | PCV | Rota | Measles-Rubella | HPV | Tetanus (Td),false,1.0,,,,
Vaccine & Supply Logistics,"[140] If yes, please list the stock out vaccines.  *",single_select,BCG | bOPV | IPV | Penta (DTP-HepB-Hib) | PCV | Rota | Measles-Rubella | HPV | Tetanus (Td),false,1.0,,Ask only if: “Was there any stock out of vaccines AND supplies during the last month?” includes “Yes”,Was there any stock out of vaccines AND supplies during the last month?,Yes
Vaccine & Supply Logistics,"[141] If yes, please list the stock out supplies.  *",single_select,Option 1 | Option 2 | Option 3,false,1.0,,Ask only if: “Was there any stock out of vaccines AND supplies during the last month?” includes “Yes”,Was there any stock out of vaccines AND supplies during the last month?,Yes
Vaccine & Supply Logistics,[142] Does the health facility monitor vaccine wastage rate?  *,yes_no,Yes | No,true,1.0,,,,
Vaccine & Supply Logistics,[143] Is multi vial policy being observed?  *,yes_no,Yes | No,true,1.0,,,,
Vaccine & Supply Logistics,"[144] If No, please explain why  *",text,,false,1.0,,Ask only if: “Is multi vial policy being observed?” includes “No”,Is multi vial policy being observed?,No
Vaccine & Supply Logistics,[145] Is there any expired vaccine or supply in the HF?  *,yes_no,Yes | No,true,1.0,,,,
Vaccine & Supply Logistics,[146] Please provide reasons for expiry of the commodities  *,text,,false,1.0,,Ask only if: “Is there any expired vaccine OR supply in the HF?” includes “Yes”,Is there any expired vaccine OR supply in the HF?,Yes
Vaccine & Supply Logistics,[147] Do the health workers know how to read and interpret the VVM?,yes_no,Yes | No,true,1.0,,Guidance: Ask them to describe VVM changes and what they mean,,
Vaccine & Supply Logistics,[148] Is there any vaccine with VVM unusable stage in the Refrigerator?  *,yes_no,Yes | No,true,1.0,,,,
Vaccine & Supply Logistics,[149] Please provide reasons for the unusable VVM vaccines  *,text,,false,1.0,,Ask only if: “Was there any stock out of vaccines AND supplies during the last month?” includes “Yes”,Was there any stock out of vaccines AND supplies during the last month?,Yes
Cold Chain & Equipment,[150] Number of cold boxes available  *,number,,false,1.0,,Guidance: Enter zero or a positive number.,,
Cold Chain & Equipment,[151] Number of vaccine carriers available  *,number,,false,1.0,,Guidance: Enter zero or a positive number.,,
Cold Chain & Equipment,[152] Number of ice packs available  *,number,,false,1.0,,Guidance: Enter zero or a positive number.,,
Cold Chain & Equipment,[153] When was the last supervisory visit to the HF by district or province?  *,yes_no,Yes | No,true,1.0,,,,
Cold Chain & Equipment,[154] Did the visiting team make any recommnendations for the health facility team?  *,yes_no,Yes | No,true,1.0,,,,
Cold Chain & Equipment,[155] Enter number of maximum number of recommendations made during the last visit  *,number,,false,1.0,,Ask only if: “Did the visiting team make any recommnendations for the health facility team?” includes “Yes” Guidance: Maximum allowed: 5.,Did the visiting team make any recommnendations for the health facility team?,Yes
